epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7223,2.55467,4.1325,1.39606,0.00568,0.65106,0.24104,0.07756,2.17366,2.92595,1.27025,0.0032963,0.0032963,0.0703333
2,25.6593,2.3146,2.34331,1.28173,0.33219,0.45196,0.32006,0.11092,2.39622,1.98852,1.43435,0.006564,0.006564,0.0402677
3,35.4344,2.31762,2.11773,1.29626,0.36251,0.41524,0.35598,0.12345,2.41576,1.90665,1.46011,0.0097657,0.0097657,0.0101361
4,44.9325,2.35787,1.97235,1.3265,0.43186,0.39935,0.36539,0.12582,2.34305,1.55873,1.35299,0.009703,0.009703,0.009703
5,54.7983,2.31185,1.84626,1.30536,0.36067,0.46622,0.39762,0.14193,2.25741,1.59213,1.34116,0.009604,0.009604,0.009604
6,64.2174,2.26579,1.69936,1.30603,0.39676,0.51435,0.42953,0.1506,2.2482,1.44063,1.34499,0.009505,0.009505,0.009505
7,73.7318,2.28401,1.60722,1.30154,0.44013,0.53783,0.46855,0.17778,2.23319,1.42194,1.33732,0.009406,0.009406,0.009406
8,83.2769,2.23144,1.53468,1.30079,0.52928,0.56561,0.53005,0.1832,2.17171,1.27959,1.3417,0.009307,0.009307,0.009307
9,94.2544,2.22056,1.47111,1.29352,0.41577,0.49467,0.44204,0.17259,2.18133,1.4048,1.3687,0.009208,0.009208,0.009208
10,104.166,2.20028,1.4651,1.28129,0.47768,0.63379,0.56174,0.20524,2.06769,1.2869,1.28489,0.009109,0.009109,0.009109
11,114.229,2.14858,1.38427,1.25534,0.46016,0.58965,0.54974,0.20974,2.08258,1.24431,1.29004,0.00901,0.00901,0.00901
12,124.956,2.15088,1.35478,1.26085,0.50864,0.54128,0.51596,0.21093,2.07083,1.2249,1.26465,0.008911,0.008911,0.008911
13,135.54,2.125,1.32775,1.25402,0.58005,0.62858,0.57133,0.22066,2.05104,1.2231,1.27534,0.008812,0.008812,0.008812
14,145.211,2.12692,1.28745,1.26479,0.49855,0.60134,0.55227,0.21243,2.09995,1.16957,1.29713,0.008713,0.008713,0.008713
15,155.011,2.10534,1.29944,1.23996,0.53979,0.62989,0.54687,0.21593,2.07532,1.13219,1.25032,0.008614,0.008614,0.008614
16,164.467,2.0945,1.25913,1.23356,0.58798,0.54247,0.55074,0.21217,2.08596,1.19151,1.26408,0.008515,0.008515,0.008515
17,173.894,2.10735,1.265,1.2374,0.53502,0.61397,0.5607,0.21638,2.1568,1.17179,1.31358,0.008416,0.008416,0.008416
18,183.398,2.06255,1.22371,1.24257,0.58133,0.65081,0.62397,0.24815,1.99612,1.13162,1.23484,0.008317,0.008317,0.008317
19,192.878,2.06033,1.23183,1.22098,0.48191,0.5778,0.50908,0.19055,2.12657,1.17858,1.26116,0.008218,0.008218,0.008218
20,202.425,2.06291,1.22966,1.2356,0.52575,0.67098,0.58747,0.24073,1.95045,1.18757,1.21371,0.008119,0.008119,0.008119
21,211.984,2.03229,1.19135,1.20108,0.59136,0.68029,0.61378,0.26418,1.90905,1.04485,1.19972,0.00802,0.00802,0.00802
22,221.413,2.03896,1.19207,1.20563,0.58936,0.65155,0.6144,0.26181,1.92974,1.04782,1.20642,0.007921,0.007921,0.007921
23,230.878,2.00766,1.15848,1.18337,0.55814,0.66097,0.60879,0.24244,1.96269,1.08159,1.22758,0.007822,0.007822,0.007822
24,240.458,2.0245,1.12581,1.20716,0.61732,0.6685,0.61616,0.2542,1.96357,1.04897,1.24892,0.007723,0.007723,0.007723
25,250.307,1.973,1.12009,1.1768,0.56307,0.66586,0.62274,0.25718,1.92926,1.0309,1.19423,0.007624,0.007624,0.007624
26,263.779,1.95492,1.09041,1.16479,0.56486,0.65397,0.59261,0.23158,2.02785,1.01324,1.21308,0.007525,0.007525,0.007525
27,274.686,1.93332,1.0912,1.1641,0.65781,0.67216,0.63896,0.27669,1.86301,0.97837,1.16852,0.007426,0.007426,0.007426
28,285.127,1.96755,1.09641,1.15158,0.61382,0.68615,0.61517,0.27386,1.92244,0.98585,1.15687,0.007327,0.007327,0.007327
29,295.735,1.92136,1.06942,1.1519,0.59801,0.68211,0.62863,0.26089,1.94523,0.97927,1.17694,0.007228,0.007228,0.007228
30,305.868,1.91251,1.04687,1.1563,0.60839,0.70127,0.64854,0.29098,1.81149,0.94317,1.1543,0.007129,0.007129,0.007129
31,315.746,1.89858,1.04643,1.14505,0.68967,0.69938,0.67441,0.2945,1.78529,0.93244,1.12848,0.00703,0.00703,0.00703
32,325.895,1.88845,1.03524,1.13147,0.64743,0.68753,0.65509,0.29894,1.74983,0.91022,1.13146,0.006931,0.006931,0.006931
33,335.762,1.86029,1.02181,1.14314,0.67079,0.7017,0.66036,0.30666,1.74121,0.90041,1.11777,0.006832,0.006832,0.006832
34,345.192,1.84179,0.99802,1.12302,0.62597,0.70349,0.64168,0.29412,1.80628,0.91546,1.10985,0.006733,0.006733,0.006733
35,355.157,1.85048,1.00888,1.12408,0.68798,0.70892,0.66827,0.30329,1.73945,0.89007,1.10368,0.006634,0.006634,0.006634
36,366.224,1.82513,0.97755,1.11387,0.68484,0.67946,0.67345,0.30803,1.84237,0.89814,1.11486,0.006535,0.006535,0.006535
37,377.157,1.85766,0.98369,1.11046,0.66674,0.70478,0.65525,0.30676,1.76408,0.90097,1.11133,0.006436,0.006436,0.006436
38,387.943,1.80302,0.95526,1.11125,0.6988,0.70283,0.67318,0.31485,1.74042,0.83783,1.06947,0.006337,0.006337,0.006337
39,398.681,1.7889,0.97414,1.10689,0.7487,0.71107,0.70335,0.34737,1.66922,0.84973,1.08233,0.006238,0.006238,0.006238
40,409.326,1.77673,0.94273,1.09072,0.69149,0.71878,0.69332,0.33995,1.61376,0.83827,1.06159,0.006139,0.006139,0.006139
41,420.197,1.76972,0.94639,1.10081,0.70157,0.71144,0.69704,0.3363,1.70014,0.8586,1.07986,0.00604,0.00604,0.00604
42,430.99,1.77171,0.94312,1.09883,0.72806,0.70024,0.69828,0.34802,1.64526,0.84957,1.06194,0.005941,0.005941,0.005941
43,441.682,1.76658,0.93451,1.08068,0.73392,0.72392,0.68863,0.35091,1.59793,0.81521,1.04301,0.005842,0.005842,0.005842
44,452.319,1.74411,0.92414,1.07594,0.73352,0.74033,0.72227,0.341,1.65747,0.82559,1.05209,0.005743,0.005743,0.005743
45,463.002,1.72748,0.90568,1.06049,0.70798,0.72919,0.69835,0.33829,1.68701,0.81715,1.06661,0.005644,0.005644,0.005644
46,473.651,1.73863,0.89974,1.07006,0.74439,0.72637,0.71762,0.36679,1.56341,0.78303,1.03268,0.005545,0.005545,0.005545
47,484.294,1.71715,0.89,1.05749,0.69054,0.72102,0.69413,0.32044,1.77354,0.8472,1.08447,0.005446,0.005446,0.005446
48,495.042,1.69656,0.89049,1.06396,0.72901,0.73331,0.70207,0.36679,1.61292,0.79374,1.03475,0.005347,0.005347,0.005347
49,505.722,1.69089,0.87838,1.0495,0.75302,0.72581,0.7335,0.36852,1.54913,0.75811,1.01854,0.005248,0.005248,0.005248
50,516.432,1.66439,0.86253,1.04455,0.74829,0.73662,0.717,0.34199,1.62763,0.77728,1.0386,0.005149,0.005149,0.005149
51,527.17,1.66299,0.87387,1.04787,0.74859,0.72515,0.71709,0.35722,1.61267,0.80018,1.03454,0.00505,0.00505,0.00505
52,537.82,1.65333,0.8628,1.03943,0.69465,0.70716,0.69108,0.35647,1.65326,0.80218,1.04484,0.004951,0.004951,0.004951
53,548.436,1.64455,0.85486,1.03976,0.74453,0.73789,0.72881,0.36926,1.57979,0.75803,1.01943,0.004852,0.004852,0.004852
54,559.058,1.65091,0.84305,1.03469,0.76472,0.75278,0.72559,0.37787,1.48199,0.74569,1.00052,0.004753,0.004753,0.004753
55,569.738,1.61505,0.83213,1.0248,0.77349,0.74308,0.73108,0.38901,1.48895,0.7465,0.99942,0.004654,0.004654,0.004654
56,580.436,1.60737,0.81919,1.0216,0.73895,0.73466,0.70725,0.36758,1.57269,0.75627,1.01567,0.004555,0.004555,0.004555
57,591.032,1.61294,0.83131,1.01923,0.74433,0.74007,0.72104,0.38362,1.49321,0.72049,0.99389,0.004456,0.004456,0.004456
58,601.656,1.58067,0.81002,1.02381,0.7623,0.72763,0.72261,0.4005,1.46581,0.72167,0.99669,0.004357,0.004357,0.004357
59,612.314,1.60237,0.81098,1.01396,0.78638,0.73068,0.73984,0.38812,1.51297,0.7157,0.9974,0.004258,0.004258,0.004258
60,623.06,1.5623,0.81174,1.01572,0.74766,0.75086,0.7253,0.40196,1.41026,0.69824,0.97054,0.004159,0.004159,0.004159
61,633.775,1.55544,0.79166,1.00211,0.78102,0.74882,0.74403,0.40326,1.43969,0.71648,0.96426,0.00406,0.00406,0.00406
62,644.515,1.54213,0.79305,1.01003,0.76178,0.7606,0.74528,0.40717,1.43987,0.70809,0.98258,0.003961,0.003961,0.003961
63,655.198,1.56919,0.8013,1.00722,0.80862,0.75514,0.7517,0.41615,1.36561,0.67825,0.96478,0.003862,0.003862,0.003862
64,665.761,1.52359,0.78573,0.99742,0.75462,0.76033,0.74492,0.41351,1.39915,0.68813,0.95935,0.003763,0.003763,0.003763
65,676.432,1.50609,0.7633,0.98779,0.7708,0.74749,0.75362,0.4053,1.415,0.68391,0.96019,0.003664,0.003664,0.003664
66,687.034,1.49384,0.77172,0.97865,0.77063,0.74027,0.74661,0.41983,1.35479,0.68153,0.94304,0.003565,0.003565,0.003565
67,697.661,1.50857,0.77068,0.98596,0.78935,0.75648,0.76361,0.41941,1.37277,0.67392,0.94651,0.003466,0.003466,0.003466
68,708.186,1.5094,0.76192,0.99777,0.77468,0.776,0.74369,0.40476,1.43823,0.67533,0.95648,0.003367,0.003367,0.003367
69,718.982,1.48841,0.74887,0.9817,0.79188,0.77318,0.7581,0.41372,1.42722,0.6712,0.93991,0.003268,0.003268,0.003268
70,729.654,1.47571,0.74104,0.97663,0.75453,0.75523,0.74723,0.39332,1.52294,0.70062,0.9714,0.003169,0.003169,0.003169
71,740.278,1.47213,0.74412,0.96989,0.77055,0.75343,0.75268,0.43514,1.33639,0.66202,0.93464,0.00307,0.00307,0.00307
72,750.915,1.47606,0.74755,0.98272,0.78422,0.76397,0.76656,0.4381,1.32164,0.64447,0.93313,0.002971,0.002971,0.002971
73,761.454,1.44409,0.72925,0.96933,0.80233,0.7317,0.7408,0.43985,1.30268,0.6372,0.92737,0.002872,0.002872,0.002872
74,772.085,1.42339,0.71864,0.96368,0.77911,0.75653,0.75838,0.45084,1.26742,0.63318,0.9173,0.002773,0.002773,0.002773
75,782.809,1.4513,0.72141,0.98183,0.79051,0.76834,0.76499,0.4497,1.26301,0.63049,0.91656,0.002674,0.002674,0.002674
76,793.446,1.44854,0.72237,0.96228,0.79919,0.75166,0.75971,0.44475,1.25535,0.64214,0.91256,0.002575,0.002575,0.002575
77,804.082,1.42598,0.71412,0.96474,0.7871,0.76055,0.75986,0.42761,1.40639,0.66839,0.9396,0.002476,0.002476,0.002476
78,814.72,1.39162,0.70296,0.95634,0.81824,0.77519,0.76876,0.45464,1.27134,0.61334,0.91404,0.002377,0.002377,0.002377
79,825.453,1.4165,0.69629,0.9525,0.78775,0.76703,0.77181,0.42803,1.37815,0.6647,0.92505,0.002278,0.002278,0.002278
